c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65
,C/N,protein,,C/N,protein,,C/N,protein,,C/N,protein,,,C/N,CH,,C/N,CH,,C/N,CH,,,C/N,respiration,,C/N,respiration,,C/N,respiration,,C/N,respiration,,,C/N,Y,,C/N,Y,,C/N,Y,,C/N,N2fix,,C/N,N2fix,,C/N,N2fix,,C/N,N2fix,,C/N,N2fix,,C/N,N2fix,,C/N,N2fix
5%,1.0667,0.1314,15%,1.5251,0.1899,30%,0.6213,0.1213,60%,3.4808,0.1505,,5%,0.5971,0.0485,15%,1.6272,0.0806,60%,2.3604,0.1356,,5%,0.6256,0.1917,15%,1.5385,0.3531,30%,1.2223,0.6639,60%,2.3813,1.274,,5%,0.5401,81.0058,15%,1.5813,65.117,60%,2.3461,31.1396,5% (from N2fix (x)),0.7566,0.2274,5% (from C2H2 (+)),0.4102,0.4945,15% (from N2fix (x)),1.491,0.461,15% (from C2H2 (+)),2.3128,1.3044,30% (from N2fix (x)),2.2505,0.3936,30% (from C2H2 (+)),2.2279,0.0239,60% (from N2fix (x)),2.1808,1.6992
,2.2595,0.2805,,2.2499,0.1915,,1.2199,0.1709,,4.6315,0.1567,,,0.7301,0.011,,2.3757,0.3361,,3.5007,0.0975,,,0.8081,0.083,,2.3354,0.5691,,2.2662,0.8561,,3.5119,1.6288,,,0.7534,87.8806,,2.3489,46.1051,,3.4791,27.8744,,1.0143,2.4804,,2.2852,9.4224,,2.3384,2.0346,,3.4098,3.201,,3.4847,0.3881,,3.4558,0.0493,,3.4386,0.2824
,3.4356,0.3761,,3.4687,0.2323,,2.4361,0.1671,,5.7999,0.1808,,,1.1204,0.0742,,3.5297,0.3849,,4.6437,0.2668,,,2.3966,0.3115,,3.5137,0.9581,,3.529,1.5038,,4.6917,1.1976,,,1.1202,94.8889,,3.4849,36.9224,,4.6667,22.9908,,2.2406,11.8176,,3.4388,15.432,,3.4468,7.5648,,4.5741,7.0396,,4.6604,1.6789,,4.6711,2.681,,4.5575,0.3099
,5.7109,0.6627,,4.624,0.2046,,4.6476,0.2147,,6.9575,0.1403,,,2.3548,0.0357,,4.6692,0.6875,,5.8727,0.3828,,,3.5307,0.2978,,4.6724,0.8542,,4.7069,1.5127,,5.8982,2.2009,,,2.3348,77.9289,,4.6909,28.0475,,5.8556,19.9649,,3.4325,18.387,,5.9308,14.6195,,4.6256,8.7177,,6.9656,19.9077,,6.9995,12.0941,,6.9883,10.7835,,5.8058,6.2886
,6.9135,0.7762,,6.9151,0.3152,,7.1457,0.3133,,8.3218,0.2116,,,3.4735,0.0819,,7.0642,0.5857,,7.0565,0.7125,,,5.8525,0.2981,,7.0178,0.9538,,11.2526,1.6716,,6.9681,2.5989,,,3.4753,64.9273,,7.099,25.8826,,7.106,15.2517,,5.7278,31.324,,6.9381,22.3721,,7.0137,15.306,,11.6343,20.5419,,9.2958,16.2186,,9.2757,15.34,,7.0449,2.438
,11.562,1.2572,,9.8913,0.6557,,10.1675,0.4178,,8.8957,0.2683,,,5.8505,0.0843,,9.8599,0.4102,,9.2905,0.768,,,7.0458,0.3936,,9.9038,1.0117,,,,,9.2615,2.8529,,,5.8646,65.928,,9.1137,39.9327,,9.3475,14.1235,,6.9407,24.876,,11.5286,27.0488,,9.8519,24.8725,,,,,11.7308,19.801,,11.6801,14.7903,,9.3014,8.1204
,,,,11.5413,0.7459,,12.5973,0.5382,,11.6272,0.203,,,7.0118,0.0359,,11.7335,0.6974,(),9.8605,1.1047,,,11.6214,0.2367,,11.6012,0.9482,,,,,9.8906,2.4875,,,7.0471,63.9001,,11.652,34.599,,9.9624,17.0997,,11.5402,29.1171,,,,,11.642,23.1066,,,,,,,,,,,9.8609,16.2349
,,,,,,,,,,14.0165,0.3155,,,11.6166,0.0511,,,,,11.6959,0.6602,,,,,,,,,,,,11.7178,2.2757,,,11.5981,58.8551,,,,,11.6499,9.8973,,,,,,,,,,,,,,,,,,,,11.5613,7.3841
,,,,,,,,,,,,,,,,,,,,14.0337,0.5462,,,,,,,,,,,,,,,,,,,,,,14.0132,13.823,,,,,,,,,,,,,,,,,,,,13.9001,17.5924
